Galaxy,Right Ascension,Declination,Distance (light-years)
Milky Way,17h 45m 40.03599s,−29° 00′ 28.1699″,"7.935–8.277 kpc (25,881–26,996 ly)"
Canis Major Dwarf,07h 12m 35.0s,−27° 40′ 00″,"25,000 ly"
Draco II,N/A,N/A,N/A
Tucana III,N/A,N/A,N/A
Segue 1,10h 07m 04s,16° 04′ 55″,75 ± 6.5 kly (23 ± 2 kpc)
Sagittarius Dwarf Sphr SagDEG,18h 55m 19.5s,−30° 32′ 43″,65 ± 7 kly (20 ± 2 kpc)
Hydrus I,N/A,N/A,N/A
Carina III,N/A,N/A,N/A
Ursa Major II Dwarf,08h 51m 30.0s,+63° 07′ 48″,98 ± 16 kly (30 ± 5 kpc)
Triangulum II,02h 13m 17.4s,+36° 10′ 42.4″,97.8 ± 6.5 kly (30 ± 2 kpc)
Reticulum II,03h 35m 42.14s,−54° 2′ 57.1″,103 kly (31.6 kpc)
Segue 2,02h 19m 16s,+20° 10′ 31″,114 kly (35 kpc)
Carina II,N/A,N/A,N/A
Willman 1,10h 49m 22.3s,+51° 03′ 03.6″,124 ± 23 kly (38 ± 7 kpc)
Boötes II,13h 58m 00s,+12° 51′ 00″,136 ± 7 kly (42 ± 2 kpc)
Coma Berenices Dwarf,12h 26m 59s,+23° 55′ 09″,143±13 kly (44±4 kpc)
Pictor II,N/A,N/A,N/A
Boötes III,13h 57m 00s,+26° 48′ 00″,150 kly (46 kpc)
Tucana IV,N/A,N/A,N/A
Large Magellanic Cloud (LMC),05h 23m 34s,−69° 45.4′,A map of the Large Magellanic Cloud with the brightest features annotated
Grus II,N/A,N/A,N/A
Tucana II,N/A,N/A,N/A
Boötes I,14h 00m 06s,+14° 30′ 00″ ± 15″,197 ± 18 kly (60 ± 6 kpc)
"Small Magellanic Cloud (SMC, NGC 292)",00h 52m 44.8s,−72° 49′ 43″,203.7 ± 1.5 kly (62.44 ± 0.47 kpc)
Ursa Minor Dwarf,15h 09m 08.5s,+67° 13′ 21″,200 ± 30 kly (60 ± 10 kpc)
Eridanus IV,N/A,N/A,N/A
Horologium II,N/A,N/A,N/A
Draco Dwarf (DDO 208),17h 20m 12.4s,+57° 54′ 55″,260 ± 30 kly (75.4 kpc)
Horologium I,N/A,N/A,N/A
Pisces Overdensity,23h 19m 00s,+00° 00′ 00″,260 kly (80 kpc)
Sextans Dwarf Sph,10h 13m 02.9s,−01° 36′ 53″,290 ± 30 kly (90 ± 10 kpc)
Sculptor Dwarf (ESO 351-G30),01h 00m 09.3s,−33° 42′ 33″,290 ± 30 kly (90 ± 10 kpc)
Pegasus IV,N/A,N/A,N/A
Virgo I,12h 00m 09.6s,−00° 40′ 48″,280+42−26 kly(87 +13−8 kpc)
Reticulum III,N/A,N/A,N/A
Ursa Major I Dwarf (UMa I dSph),10h 34m 52.8s,+51° 55′ 12″,"330,000 light-years (100 kpc)"
Phoenix II,N/A,N/A,N/A
Carina Dwarf (ESO 206-G220),06h 41m 36.7s,−50° 57′ 58″,330 ± 30 kly (100 ± 10 kpc)
Aquarius II,N/A,N/A,N/A
Pictor I,N/A,N/A,N/A
Crater II,11h 49m 14.400s177.310°±0.03°,−18° 24′ 46.80″−18.413°±0.03°,"383,000 ly (117.5 kpc)"
Grus I,N/A,N/A,N/A
Sextans II,N/A,N/A,N/A
Antlia 2,9h 35m 32.832s,-36° -46m -2.28s,"405,000 ly (124.1 kpc)"
Hercules Dwarf,16h 31m 02s,+12° 47′ 30″,"479+26−23 kly (147+8−7 kpc),"
Fornax Dwarf (ESO 356-G04),02h 39m 59.3s,−34° 26′ 57″,466 ± 10 kly (143 ± 3 kpc)
Canes Venatici II Dwarf,12h 57m 10s,+34° 19′ 15″,490+49−43 kly (150+15−13 kpc)
Hydra II,N/A,N/A,N/A
Virgo III,N/A,N/A,N/A
Leo IV Dwarf,11h 32m 57s,−00° 32′ 00″,520+49−45 kly (160+15−14 kpc)
Leo V Dwarf,11h 31m 9.6s,+02° 13′ 12″,585 kly (180 kpc)
Pisces II,22h 58m 31s,+05° 57′ 09″,585 kly (180 kpc)
Columba I,N/A,N/A,N/A
Boötes IV,N/A,N/A,N/A
"Leo II Dwarf (Leo B, DDO 93)",11h 13m 29.2s ,+22° 09′ 17″ ,690 ± 70 kly (210 ± 20 kpc)
Pegasus III,N/A,N/A,N/A
Canes Venatici I Dwarf,13h 28m 03.5s,+33° 33′ 21″,711 ± 33 kly (218 ± 10 kpc)
Cetus III,N/A,N/A,N/A
"Leo I Dwarf (DDO 74, UGC 5470)",10h 08m 27.4s,+12° 18′ 27″,820 ± 70 kly (250 ± 20 kpc)
Eridanus II,"03h 44m 20.1s (Crnojević et al., 2016)","−43° 32′ 01.7″ (Crnojević et al., 2016)","1,207 ± 29 kly (370 ± 9 kpc)"
Leo T Dwarf,09h 34m 53.4s,+17° 03′ 05″,"1,365 kly (420 kpc)"
Phoenix Dwarf Galaxy (P 6830),01h 51m 06.3s,−44° 26′ 41″,1.44 ± 0.07 Mly (440 ± 20 kpc)
Pisces V (Andromeda XVI),N/A,N/A,N/A
Barnard's Galaxy (NGC 6822),19h 44m 56.6s,−14° 47′ 21″,1.63 ± 0.03 Mly (500 ± 10 kpc)
NGC 185,00h 38m 57.970s,+48° 20′ 14.56″,2.05 ± 0.13 Mly (630 ± 40 kpc)
Andromeda II,01h 16m 29.8s,+33° 25′ 09″,2.22 ± 0.07 Mly (680 ± 20 kpc)
Cassiopeia II (Andromeda XXX),N/A,N/A,N/A
IC 1613 (UGC 668),01h 04m 47.8s,+02° 07′ 04″,2.38±0.07 Mly (730±20 kpc)
Pegasus V (Andromeda XXXIV),N/A,N/A,N/A
"Leo A (Leo III, DDO 69)",09h 59m 26.4s,+30° 44′ 47″,2.6 ± 0.1 Mly (790 ± 40 kpc)
Andromeda XVII,N/A,N/A,N/A
Andromeda XXV,N/A,N/A,N/A
Andromeda XI,00h 46.3m ,+33° 48′ 05″,2.6 ± 325 Mly (830 kpc)
Andromeda XX,N/A,N/A,N/A
Andromeda XXIII,N/A,N/A,N/A
IC 10 (UGC 192),00h 20m 17.3s,+59° 18′ 14″,2.5 ± 0.5 Mly (750 ± 150 kpc)
Andromeda III,00h 35m 33.8s,+36° 29′ 52″,2.44 ± 0.08 Mly (748 ± 25 kpc)
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",23h 26m 31.0s,+50° 41′ 31″,2.45 Mly (0.75 Mpc)
